val_acc, auc, val_acc_certain, auc_certain, batch_size, lstm_size, dense_size, regularization lstm, eta
0.522666666667,0.5,0,0,32,370,642,0.07322862401815433,0.0031283548145238558
0.644777777778,0.702769330789,0.688852653813,0.725700019468,512,728,1345,0.022959480371782682,0.0026747960999993973
0.584666666667,0.707728411139,0.639447664589,0.65047184102,512,994,925,0.06472646898621971,0.0009365699905051403
0.623777777778,0.705975772234,0.695833333333,0.731790469579,512,745,906,0.07314693445629851,0.0010436555774100491
0.477333333333,0.507205586058,0.477333333333,0.507205586058,512,795,957,0.04641798707481637,0.003480459949717935
0.654222222222,0.711754834033,0.711302211302,0.748134614523,256,625,205,0.03594531488708087,0.0006348876018714114
0.650555555556,0.702988262199,0.713636363636,0.750153550278,512,216,903,0.05590346191775486,0.002911594592414262
0.522666666667,0.5,0,0,32,936,411,0.023319687500100786,0.003496322260631298
0.522666666667,0.5,0,0,32,575,1152,0.04782875476944862,0.002382860074090492
0.61,0.706969233661,0.647650502936,0.691130287405,128,745,121,0.04314936023012947,0.0007421389445754288
0.522666666667,0.5,0,0,64,225,715,0.06820042197366648,0.002756346239165066
0.590666666667,0.696965106166,0.658984295354,0.627538775876,512,249,605,0.0878587903374215,0.002401387613628178
0.522666666667,0.533498806733,0,0,32,616,543,0.04115804647924846,0.001351555956052115
0.648333333333,0.705562354714,0.736932515374,0.769966810028,32,319,325,0.0944724014787548,0.00060950671318703
0.651777777778,0.709591783786,0.718827336783,0.760216914937,64,248,771,0.0019764426058986317,0.0030836702860269276
0.522666666667,0.5,0,0,256,970,557,0.012075451820083405,0.00292635246053445
0.643777777778,0.709106972631,0.718832891271,0.734029869811,128,603,1223,0.027636354103517613,0.0016644963788675755
0.633555555556,0.708993863636,0.684828164452,0.714662826475,512,425,1441,0.09417715859126585,0.0006522089370249418
0.651777777778,0.709612084766,0.708511001275,0.751434734606,256,568,1190,0.011614386607806438,0.00018200935041286107
0.522666666667,0.5,0,0,64,726,412,0.08149684176435318,0.002113362724533592
0.654888888889,0.714038527277,0.708856630143,0.747016049857,256,697,560,0.015442257867675458,0.0008111142032871858
0.522666666667,0.5,0,0,256,897,91,0.07492095865645775,0.0022738593877051224
0.649,0.705442355015,0.720989761092,0.759271170732,64,994,192,0.06052658013850814,0.0010426651095102662
0.522666666667,0.5,0,0,32,329,816,0.06611627835209581,0.0020222348623330417
0.649555555556,0.706061763771,0.710589444825,0.747724908629,128,851,589,0.05471155588496788,0.0011592764446024667
0.522666666667,0.5,0,0,128,798,591,0.07907322905382477,0.003308092335435047
0.522666666667,0.501810337729,0,0,512,438,679,0.08727815670526473,0.0032362596212243936
0.522666666667,0.51382587049,0,0,256,600,1003,0.07653443529952172,0.0032870927501620394
0.630888888889,0.71300592368,0.664351851852,0.706346380484,256,382,1184,0.01192263777227437,0.00129639379369898
0.661333333333,0.716306051488,0.722600847587,0.762435522591,256,191,1160,0.043642676542451186,0.0004253972368105083
0.652888888889,0.708291580861,0.71464019849,0.75246461979,64,255,574,0.08496977657014157,0.0006207021982412184
0.618111111111,0.710138289633,0.652109328615,0.701224159027,64,838,963,0.05869450377402662,0.00033214133479181687
0.522666666667,0.501898123076,0.522666666667,0.501898123076,32,756,1382,0.06207219690112449,0.0034350331441858404
0.522666666667,0.5,0,0,64,622,1082,0.042962036693448294,0.0018377840692654606
0.522666666667,0.542981096361,0,0,512,577,993,0.061850542623280706,0.0029660880685874547
0.598444444444,0.702799936897,0.627832655433,0.669702550253,512,189,507,0.043882507100151485,0.0034922320115977437
0.613222222222,0.712472172441,0.663026787243,0.716437576147,512,240,646,0.05175611196368155,0.0003384585498533808
0.573,0.699747082696,0.592201896114,0.671783421922,128,984,586,0.062298623072921236,0.0014056581749996562
0.650666666667,0.708338813732,0.705713259523,0.753486255637,128,58,843,0.07632276545314975,0.0010653728528906023
0.652777777778,0.708414759933,0.711696008398,0.750680056027,32,207,454,0.0777116792821341,0.00022114085574146403
0.522666666667,0.5,0,0,128,736,119,0.01379547839750983,0.002905212784002707
0.522666666667,0.5,0,0,32,321,508,0.021918185873202524,0.002948079192192551
0.651111111111,0.70750466737,0.720610687205,0.750175965995,256,340,578,0.03801898537836428,0.0021220197168994913
0.637333333333,0.703686771787,0.697472791174,0.720870611206,512,214,312,0.06166409958007055,0.002619699474626293
0.646444444444,0.711118167588,0.711428571429,0.744634629141,256,77,1411,0.07479827687037933,0.0007893279831803134
0.655888888889,0.711121000571,0.716576576684,0.753510643416,32,317,130,0.042462619400776,0.0005101942147473984
0.643444444444,0.70964577128,0.710164310347,0.753617369452,256,805,183,0.09486867022235722,0.0008884169318861412
0.648888888889,0.704738983582,0.731834695677,0.766342939134,512,277,140,0.03592759575305573,0.002382351222551464
0.522666666667,0.5,0,0,64,862,107,0.0763733936440866,0.0017222241114903485
0.504666666667,0.703753835537,0.515410958904,0.683476840418,128,569,638,0.05385521196189748,0.0010806159720014045
0.637333333333,0.692375934167,0.698337740884,0.737423046226,32,154,699,0.0014273022964769511,0.0007207753789515062
0.652777777778,0.708641893384,0.718499160156,0.758062337943,32,367,904,0.09679185642905364,0.00015063078233099958
0.649666666667,0.706806194894,0.698033479642,0.744583470666,64,255,1022,2.1136812107291905e-05,7.334464224188152e-05
0.552888888889,0.56331988248,0,0,512,660,402,0.03444361443042983,1.8341583936889354e-06
0.649555555556,0.713426392729,0.710788599572,0.744114331677,256,863,119,0.008223262405908038,0.0012447470590509749
0.522666666667,0.5,0,0,64,962,1147,0.05559392762556512,0.001827199868087512
0.522666666667,0.556534740729,0,0,512,966,1012,0.01080540994235425,0.0034592451585971464
0.522666666667,0.5,0,0,64,249,838,0.06577137071255368,0.0024675566098861933
0.647666666667,0.714204460881,0.710858361535,0.737729693498,256,216,954,0.054445541101974984,0.0011559635204945683
0.643222222222,0.711249103342,0.711716621253,0.734531388304,128,278,729,0.07293726185643917,0.0003281008398752809
0.650111111111,0.706380666064,0.702921274118,0.745058002805,128,188,161,0.08339033269053178,0.0008297198731679713
0.652666666667,0.711471696599,0.693937068231,0.743550463493,128,562,1289,0.01224985147763278,0.0009931282399850323
0.634444444444,0.702481838726,0.675684990543,0.728792498774,512,757,1435,0.03532771129075209,0.001555829119118124
0.522666666667,0.5,0,0,32,499,304,0.037478674090933986,0.002269540315740622
0.522666666667,0.500106292517,0,0,32,124,146,0.09434019385021074,0.0026514009696827507
0.656444444444,0.708977768831,0.716461203857,0.753186276449,32,670,1064,0.06946452603168254,0.0006850274137309945
0.598888888889,0.701443371227,0.631953428202,0.691421428751,128,457,1249,0.029647185544326982,0.002475887926417006
0.477333333333,0.488452725859,0.477333333333,0.488452725859,128,866,1287,0.029156457208315268,0.0029096453515075277
0.522666666667,0.5,0,0,128,348,609,0.07987686552910425,0.0030142531385461864
0.618777777778,0.682097959936,0.735393734931,0.632417094794,256,540,1218,0.05600922103465569,0.002412292120221478
0.652777777778,0.710433340439,0.733862544267,0.760880696975,64,323,695,0.06012341637491521,0.0006966875076671312
0.522666666667,0.500096148213,0,0,256,863,1062,0.08805432696385974,0.0027576741041683284
0.649444444444,0.710229613115,0.71566731158,0.749506833781,256,147,720,0.028486139556032887,0.0029467938044993734
0.522666666667,0.5,0,0,64,719,705,0.09697043339295247,0.0023791669196477298
0.647,0.713982424324,0.707158351539,0.754245377485,32,431,141,0.00413293911220709,0.001435488863125664
0.522666666667,0.53598072216,0,0,256,812,1227,0.07003995419865709,0.002230584443424794
0.638111111111,0.705472515764,0.693594818409,0.737386640229,128,207,832,0.08269120210849978,0.0012329518329135627
0.652555555556,0.711484710999,0.705302515296,0.742155112239,512,574,557,0.08576832238264094,0.0005574541321151881
0.645333333333,0.703072472297,0.703037502131,0.737252814546,512,371,172,0.07829678127356648,0.001735190679764209
0.646555555556,0.703783612782,0.731381733105,0.762871085013,256,945,1264,0.04798782522587694,0.0018905775570357169
0.648888888889,0.706221722133,0.715238095238,0.755430585455,64,217,666,0.05250971654668969,2.229818695238133e-05
0.642666666667,0.704907280068,0.713260953881,0.736550274198,512,957,698,0.04584093517570101,0.001411991484700968
0.522666666667,0.5,0,0,64,931,1130,0.09116200535884564,0.001831368730236193
0.618333333333,0.705077543558,0.666270783868,0.684211354771,512,315,408,0.058443786339494035,0.0023570788944193475
0.477333333333,0.491704705334,0.477333333333,0.491704705334,64,967,656,0.05468293824755928,0.002561641766462507
0.654111111111,0.709375351339,0.731071576334,0.764031715927,256,745,311,0.01696366218861216,0.0029111387661003027
0.622,0.712340246998,0.675817229547,0.689149571731,512,472,481,0.020083664382894263,0.0019388970770744002
0.646111111111,0.708574817264,0.689201878009,0.729832924862,256,310,899,0.020999315746918625,0.001804992483089906
0.522666666667,0.5,0,0,128,754,1434,0.08627150633110917,0.002962615856647883
0.522666666667,0.475124730409,0,0,512,543,242,0.081735190060383,0.003016655204191257
0.648,0.710648139901,0.700893609947,0.733380817949,256,687,262,0.022120724442186247,0.0020321142942092813
0.644111111111,0.709380262667,0.720498205615,0.762834293511,512,335,1052,0.022154709177865786,0.0008497850495516748
0.525666666667,0.698480578655,0.546177699826,0.670981564638,512,813,153,0.0851848305505643,0.0015203265978126705
0.522666666667,0.5,0,0,128,912,185,0.08743676041953027,0.0027480572515121175
0.651555555556,0.713143564572,0.702685109845,0.737135559117,32,916,554,0.0033213863455940464,0.0017646358558046874
0.647888888889,0.70403785132,0.701411887751,0.746222800013,64,447,473,0.08937770849609464,0.0014167156300236069
0.522666666667,0.5,0,0,128,427,1270,0.08603938091442409,0.002725253479110415
0.522666666667,0.50411205567,0,0,256,746,409,0.05056330300488078,0.0026991149324602916
0.653333333333,0.70483294211,0.718018192594,0.747796786898,512,238,604,0.03855283763831,6.858083241594386e-05
0.645333333333,0.712568914466,0.693540474253,0.725963044262,256,84,1439,0.07021675727079925,0.00036457771830932705
0.477333333333,0.492726397618,0.477333333333,0.492726397618,512,842,897,0.05893815409543998,0.0031857767322791847
0.645888888889,0.71181873078,0.699418121423,0.747357704745,512,618,1060,0.019910771874233835,0.00032027290592343287
0.652666666667,0.70960977137,0.706447187929,0.750370611543,512,574,878,0.03194971615243689,0.0005506359849399339
0.646222222222,0.709946265372,0.702724885134,0.741639451303,128,818,404,0.073941886152408,0.000213206240370233
0.652555555556,0.707702209143,0.72133696114,0.756099061179,32,654,532,0.0717783568729157,1.3273656069148611e-05
0.578555555556,0.702847775953,0.600963468526,0.675004744151,256,399,1182,0.09304083780755781,0.0014018059033497658
0.522666666667,0.5,0,0,32,155,122,0.06289755282153413,0.003237688850495902
0.635222222222,0.707445174735,0.687711577562,0.715201099553,128,512,1283,0.04749772863493001,0.0011976648171332152
