val_acc, auc, val_acc_certain, auc_certain, batch_size, lstm_size, dense_size, regularization lstm, eta
0.522666666667,0.536473500306,0,0,512,919,424,0.03184672424465797,0.0020450620247092948
0.527666666667,0.534992308143,0,0,512,372,171,0.06970375259995738,0.0031633355090526115
0.526555555556,0.60041916266,0,0,128,490,765,0.09763746236315296,0.0013547069237785836
0.522666666667,0.500320349712,0,0,256,926,65,0.07024594651069559,0.0021558704926727848
0.522666666667,0.574942001795,0,0,256,524,1067,0.06264684197676702,0.002763841423703774
0.655555555556,0.708944540048,0.730518798321,0.760030460301,512,319,1381,0.07614074777483279,0.0007029796816586364
0.522666666667,0.5,0,0,256,876,287,0.05718274641441251,0.0028248007309295037
0.527,0.551643194231,0,0,256,469,1200,0.08157552079158203,0.0028250737811429754
0.645444444444,0.701951501911,0.716364360934,0.736446300741,256,69,495,0.08252353203043515,0.002327375430440209
0.657444444444,0.709743614334,0.72740404472,0.764849910541,512,168,283,0.023135016265750753,0.002041891524011797
0.522666666667,0.5,0,0,128,930,1082,0.09760475975017573,0.0024886495510708633
0.631111111111,0.711202105522,0.681355366413,0.712242932656,256,934,534,0.04525513159296532,0.0005945882471137106
0.658111111111,0.709162902387,0.727818946525,0.760150217342,512,187,225,0.06250937127422056,0.0014547681229333722
0.634444444444,0.69935322389,0.715265866277,0.73375354554,512,201,1416,0.06543890759533823,0.0028616630482162122
0.522666666667,0.5,0,0,32,429,1051,0.034872928742039656,0.0020410084886599063
0.522666666667,0.5,0,0,64,825,937,0.09500747117139734,0.002701469381441204
0.649555555556,0.714211945399,0.716801173925,0.747265673617,128,747,594,0.0026176222051289555,0.0013560082392369333
0.649222222222,0.706747988855,0.719248291662,0.757208406274,32,96,610,0.09507973718935159,0.0005566299362769985
0.522666666667,0.5,0,0,32,880,156,0.06724923724213767,0.001309881819709365
0.656555555556,0.710369579774,0.727732793619,0.76035152481,512,533,323,0.012215475637639318,0.001151761971879864
0.522666666667,0.5,0,0,128,879,529,0.007800094567771066,0.0031058807014130146
0.644,0.709870591335,0.700578845827,0.724686594277,512,241,1380,0.04108338007683772,0.0010244453066203202
0.611444444444,0.698741621299,0.651339141736,0.685117675566,32,283,1351,0.05187220252835172,0.0016351395988751134
0.645,0.703686450139,0.71624667085,0.760356265823,128,111,822,0.015496440620243935,0.002529421083654308
0.522666666667,0.5,0,0,128,746,1354,0.005527411159944873,0.003200634008642266
0.522666666667,0.517051957247,0,0,128,303,1405,0.06853788509692957,0.0034326008027428323
0.636666666667,0.707720877137,0.703577853318,0.743897201714,256,878,1007,0.08941737351926372,0.0009990860206072999
0.522666666667,0.5,0,0,64,458,637,0.06631272922139923,0.002172113003501507
0.522666666667,0.5,0,0,128,529,141,0.02663667983457481,0.003037901410696945
0.654555555556,0.711850969875,0.723789907189,0.763048992651,512,217,786,0.09383169715890137,0.000837213313408411
0.477333333333,0.511055250633,0.477333333333,0.511055250633,32,997,1275,0.002786333370766836,0.0031749796077589275
0.522666666667,0.503478160352,0.522666666667,0.503478160352,512,906,1214,0.008283051599436209,0.003361780689339059
0.522666666667,0.5,0,0,64,729,825,0.0018301803453061316,0.0030624289638655424
0.649888888889,0.703944969078,0.726887003819,0.743782702696,256,72,160,0.042038002717935535,0.0032369682339702817
0.656333333333,0.711809539051,0.73723723734,0.772271236295,64,602,1158,0.07917543944403808,0.000652675057247313
0.528888888889,0.676682707534,0.821561341392,0.56221719457,512,288,506,0.0678822697752483,0.0031118738371558674
0.522666666667,0.5,0,0,32,680,363,0.0761935995217579,0.0025172415586302874
0.522666666667,0.511178640014,0,0,64,279,1437,0.0736309000846798,0.002187506681034223
0.639555555556,0.712236243136,0.708953701852,0.706985124422,512,374,1292,0.00826734216942968,0.0014550190468632324
0.655444444444,0.712598716454,0.711752030558,0.751665055684,512,628,840,0.007604887522123172,0.0005591516809742885
0.641555555556,0.711904883142,0.692348377997,0.747357360944,128,884,1081,0.0629893128029889,0.0002113031334411308
0.522666666667,0.5,0,0,32,846,1380,0.03677037500070981,0.0015263586742927813
0.630555555556,0.71315733361,0.670826833148,0.706574366772,512,682,492,0.037854298865087746,0.0001956580525568608
0.522666666667,0.536233389567,0,0,512,560,521,0.0752511309562877,0.00242776980750627
0.617666666667,0.71259799893,0.672178988404,0.702545662556,64,840,351,0.009581069555944333,0.0017373833865237374
0.522666666667,0.5,0,0,128,822,1390,0.057590690664619165,0.0021485137902276024
0.653222222222,0.712097266164,0.712724014337,0.756744012745,32,585,801,0.016126464075977464,0.00030279138247609036
0.639444444444,0.700110756011,0.685296506944,0.715062052641,32,259,183,0.07438040801734824,0.0016929653876563415
0.522666666667,0.500116387337,0,0,32,580,1416,0.04719662876844175,0.0018239735153744029
0.522666666667,0.565016678226,0,0,512,607,1038,0.06688772707388484,0.002271628669583009
0.645888888889,0.710852052792,0.699053313423,0.737248514943,128,275,1145,0.0657646163891863,0.00011993392755282896
0.645444444444,0.711733951611,0.694601542447,0.744325233751,128,974,456,0.024243876793203056,0.0008335208860060035
0.522666666667,0.5,0,0,128,706,257,0.06314108001862588,0.003107191952095904
0.657,0.711523061418,0.721145135031,0.757591741292,32,61,818,0.06771126916752639,0.0002403995205468738
0.522666666667,0.5,0,0,32,570,125,0.054670344959506914,0.0019880921741351775
0.537666666667,0.573848470516,0,0,512,981,671,0.046052555036422575,0.0015877705377527395
0.645555555556,0.705093081664,0.736349453978,0.76930087871,512,173,1383,0.09626681817826388,0.0014612971358613184
0.655222222222,0.711412241078,0.723571018994,0.763070433558,64,271,1204,0.01984763865344631,0.000905026820105896
0.598444444444,0.675314636737,0.694600674916,0.707283223268,64,127,416,0.08518738141846544,0.003394182240421451
0.522666666667,0.5,0,0,32,731,379,0.05730073747079856,0.0011405449919581524
0.654777777778,0.710188070951,0.719930941739,0.762430682939,64,282,1485,0.026524070587703997,0.0008687328761175958
0.522666666667,0.5,0,0,64,286,369,0.0836410540248137,0.002367636980086113
0.657666666667,0.715150355417,0.721956406209,0.76103655507,128,852,300,0.022266818084805517,0.00019858429947552283
0.652111111111,0.707582667174,0.744131456083,0.761377613776,512,941,367,0.08761813518014025,0.0007904496070803962
0.647555555556,0.709433334699,0.708210890007,0.733597826092,128,538,1398,0.01716433521692411,0.0007300480357866096
0.630444444444,0.690825711249,0.696099443007,0.704511096041,256,725,1030,0.08499909146022738,0.0014139435528413005
0.522666666667,0.47496346071,0,0,64,293,1489,0.043798083504233955,0.003490297737542003
0.640888888889,0.702286709318,0.696410767697,0.731835072969,256,824,1053,0.0007345644638470872,0.000879367812701707
0.522666666667,0.5,0,0,32,904,646,0.019258672484400607,0.0028309604305210376
0.642,0.711700747571,0.701214147426,0.725854052188,256,556,66,0.02694411940635183,0.0011586652441950905
0.577777777778,0.699387479474,0.610908514354,0.683894213233,512,207,605,0.06346558862684475,0.0030371217207742916
0.522666666667,0.5,0,0,64,983,880,0.08576191885813401,0.0015620425678451305
0.640666666667,0.711289754787,0.68958611482,0.744536388878,512,487,875,0.041023012164010914,0.0005671102686570263
0.522666666667,0.520258782197,0,0,512,266,1049,0.08739395311310538,0.003007386909900152
0.477333333333,0.507910380167,0.477333333333,0.507910380167,32,875,134,0.08032914921243306,0.0034483607179252728
0.605222222222,0.708711950941,0.666862745098,0.662902657235,512,176,62,0.016599042580284617,0.002833963583310602
0.653,0.712276214169,0.71816571534,0.76394233436,256,356,1094,0.0895974497277632,0.00037784284089707526
0.647888888889,0.700609348575,0.75365408039,0.779079999581,128,512,940,0.093713699084175,0.00140916735473167
0.522666666667,0.5,0,0,32,811,1348,0.08934136618170085,0.0011565083752349378
0.522666666667,0.524985706428,0,0,64,485,906,0.07119740762707698,0.0017601841644851854
0.628111111111,0.705377839712,0.686336560074,0.735928602807,128,117,482,0.0361213541159922,0.0014063341029244855
0.617444444444,0.686017459387,0.679231200095,0.72466440498,32,107,1241,0.0662097212130376,0.0023364360656590675
0.522666666667,0.5,0,0,32,860,252,0.04139284311407471,0.002132323029568692
0.522666666667,0.526246198113,0,0,128,683,1035,0.09262494909965413,0.001830268844326145
0.608666666667,0.703557493761,0.654185800239,0.716832493686,64,576,94,0.025341527129488853,0.0017626715845711091
0.522666666667,0.5,0,0,32,853,59,0.07702876869417058,0.0025050898328310336
0.522666666667,0.499777344888,0,0,512,461,691,0.057580053617160634,0.003130767374912313
0.522666666667,0.5,0,0,32,611,1302,0.039509688323721884,0.002922230223193764
0.648555555556,0.710481068155,0.708771929825,0.741294503435,256,489,582,0.08097295839931579,0.0002559370464347757
0.522666666667,0.500530918257,0,0,64,803,757,0.07923297738470915,0.0017624396195338142
0.639666666667,0.706151169732,0.691243489583,0.740686883811,64,218,1197,0.08523084996835399,0.0006658923114973203
0.522666666667,0.5,0,0,32,451,590,0.09791656158610162,0.0019225821898657292
0.639777777778,0.699887729766,0.706916537959,0.748086463882,64,549,320,0.0619055752131839,0.0013296737549195645
0.522666666667,0.511442206363,0,0,512,783,365,0.07035967237221262,0.002110064774575954
0.639111111111,0.709572113733,0.703583648494,0.746727036888,256,370,1359,0.007635622303938716,0.002469913618765159
0.659444444444,0.710406581743,0.713859125189,0.751569997518,512,69,567,0.08131124697150183,0.0013492270319962274
0.522666666667,0.532556809095,0,0,128,498,532,0.06742730806758467,0.002064546531264951
0.522666666667,0.5,0,0,32,835,1202,0.0644216502557649,0.0019036621674884333
0.597222222222,0.703942890733,0.643286949981,0.692167753569,512,622,952,0.017176581313239292,0.002404006377792037
0.522666666667,0.5,0,0,32,766,65,0.08596788830561718,0.002765787436160969
0.641888888889,0.708201049129,0.700600983471,0.746024344926,256,191,440,0.003276021829766707,0.0007510163153273172
